Time, AccelerometerX, AccelerometerY, AccelerometerZ 
7.0, -0.078, -10.169, 0.517
7.01, -0.078, -10.123, 0.485
7.02, -0.118, -10.169, 0.517
7.03, -0.078, -10.155, 0.44
7.04, -0.039, -10.13, 0.524
7.05, -0.078, -10.175, 0.556
7.06, -0.118, -10.141, 0.363
7.07, -0.118, -10.123, 0.485
7.08, -0.078, -10.13, 0.524
7.09, -0.157, -10.137, 0.563
7.1, -0.078, -10.13, 0.524
7.11, -0.078, -10.091, 0.531
7.12, -0.039, -10.064, 0.376
7.13, -0.078, -10.091, 0.531
7.14, -0.078, -10.091, 0.531
7.15, -0.078, -10.091, 0.531
7.16, -0.078, -10.137, 0.563
7.17, -0.078, -10.13, 0.524
7.18, -0.118, -10.13, 0.524
7.19, -0.118, -10.13, 0.524
7.2, -0.118, -10.085, 0.492
7.21, -0.118, -10.098, 0.569
7.22, -0.078, -10.091, 0.531
7.23, -0.039, -10.085, 0.492
7.24, -0.039, -10.071, 0.415
7.25, 0.0, -10.091, 0.531
